Port_1;Port_2;Dist_km;Time (uur);Speed (knots);Modality;osmid
COCTG;ESALG;7597.42;293;25.928;Vessel;[30704232, 65132273]
FRDKK;ESALG;2309.11;89;25.928;Vessel;[30704232, 53195375]
NLRTM;ESALG;2506.07;96;25.928;Vessel;[30704232, 56020150]
ESVLC;BEANR;3213.84;123;25.928;Vessel;[55656241, 39117447]
PAMIT;BEANR;9517.87;367;25.928;Vessel;[55656241, 70520231]
JMKIN;BEANR;8177.28;315;25.928;Vessel;[55656241, 94821800]
USHOU;BEANR;9466.66;365;25.928;Vessel;[55656241, 65393671]
DOCAU;BEANR;7566.3;291;25.928;Vessel;[55656241, 51205867]
MAPTM;BEANR;2530;97;25.928;Feeder;[55656241, 30402863]
PACTB;BEANR;9118;351;25.928;Vessel;[55656241, 70554261]
GBSOU;BEANR;521.96;480;25.928;Feeder;[55656241, 49453700]
COCTG;BEANR;8471.24;326;25.928;Vessel;[55656241, 65132273]
BEZEE;BEANR;203.6;7;25.928;Feeder;[55656241, 54529718]
COSMR;BEANR;8449.83;325;25.928;Vessel;[55656241, 62975570]
DEHAM;BEANR;594;22;25.928;Feeder;[55656241, 63436176]
FRDKK;BEANR;153;5;25.928;Feeder;[55656241, 53195375]
FRLEH;BEANR;397;15;25.928;Feeder;[55656241, 49658438]
COTRB;BEANR;8943;344;25.928;Vessel;[55656241, 68641431]
NLRTM;BEANR;176.5;6;25.928;Feeder;[55656241, 56020150]
GBLGP;BEANR;280;10;25.928;Feeder;[55656241, 52005472]
NLVLI;BEANR;92.6;4;25.928;Feeder;[55656241, 55039437]
VELAG;BEANR;7971;307;25.928;Vessel;[55656241, 56350873]
VEPBL;BEANR;7933.968;306;25.928;Vessel;[55656241, 57526123]
MAPTM;ESVLC;711;27;25.928;Feeder;[39117447, 30402863]
COCTG;ESVLC;8353;322;25.928;Vessel;[39117447, 65132273]
NLRTM;ESVLC;3163;121;25.928;Feeder;[39117447, 56020150]
COCTG;USLAX;5940;219;25.928;Vessel;[84527626, 65132273]
NLRTM;USLAX;14612;563;25.928;Vessel;[84527626, 56020150]
JMKIN;PAMIT;1019;39;25.928;Feeder;[70520231, 94821800]
COCTG;PAMIT;502;19;25.928;Feeder;[70520231, 65132273]
COTRB;PAMIT;419;16;25.928;Feeder;[70520231, 68641431]
NLRTM;PAMIT;9144;352;25.928;Vessel;[70520231, 56020150]
VELAG;PAMIT;1544.568;60;25.928;Feeder;[70520231, 56350873]
VEPBL;PAMIT;1468.636;57;25.928;Feeder;[70520231, 57526123]
DOCAU;JMKIN;800;30;25.928;Feeder;[94821800, 51205867]
COCTG;JMKIN;857;33;25.928;Feeder;[94821800, 65132273]
NLRTM;JMKIN;8203;316;25.928;Vessel;[94821800, 56020150]
COCTG;USHOU;3052;117;25.928;Vessel;[65393671, 65132273]
NLRTM;USHOU;9401;362;25.928;Vessel;[65393671, 56020150]
GBSOU;DOCAU;7026.5;271;25.928;Vessel;[51205867, 49453700]
COCTG;DOCAU;1154;44;25.928;Feeder;[51205867, 65132273]
BEZEE;DOCAU;7477;12;25.928;Feeder;[51205867, 54529718]
COSMR;DOCAU;1004;38;25.928;Feeder;[51205867, 62975570]
NLRTM;DOCAU;7611;293;25.928;Vessel;[51205867, 56020150]
GBLGP;DOCAU;7452;287;25.928;Vessel;[51205867, 52005472]
COCTG;MAPTM;7625;294;25.928;Vessel;[30402863, 65132273]
FRDKK;MAPTM;2355;90;25.928;Vessel;[30402863, 53195375]
NLRTM;MAPTM;2480;95;25.928;Vessel;[30402863, 56020150]
COCTG;PACTB;502;19;25.928;Feeder;[70554261, 65132273]
BEZEE;PACTB;9029;348;25.928;Feeder;[70554261, 54529718]
COTRB;PACTB;419;16;25.928;Feeder;[70554261, 68641431]
NLRTM;PACTB;9144;352;25.928;Vessel;[70554261, 56020150]
VELAG;PACTB;1529;58;25.928;Feeder;[70554261, 56350873]
VEPBL;PACTB;1468.636;57;25.928;Feeder;[70554261, 57526123]
COCTG;GBSOU;8285;319;25.928;Vessel;[49453700, 65132273]
NLRTM;GBSOU;458;17;25.928;Feeder;[49453700, 56020150]
BEZEE;COCTG;8533;329;25.928;Vessel;[65132273, 54529718]
COSMR;COCTG;183;7;25.928;Feeder;[65132273, 62975570]
DEHAM;COCTG;9098;350;25.928;Vessel;[65132273, 63436176]
FRDKK;COCTG;8318;320;25.928;Vessel;[65132273, 53195375]
FRLEH;COCTG;8280;319;25.928;Vessel;[65132273, 49658438]
COTRB;COCTG;322;12;25.928;Feeder;[65132273, 68641431]
NLRTM;COCTG;8648;333;25.928;Vessel;[65132273, 56020150]
GBLGP;COCTG;8508;328;25.928;Vessel;[65132273, 52005472]
COBAQ;COCTG;136;5;25.928;Feeder;[65132273, 63816700]
VEGUT;COCTG;1364.924;53;25.928;Feeder;[65132273, 54342630]
VELAG;COCTG;1051;40;25.928;Feeder;[65132273, 56350873]
VEPBL;COCTG;1033.416;40;25.928;Feeder;[65132273, 57526123]
FRDKK;BEZEE;65;1;25.928;Feeder;[54529718, 53195375]
NLRTM;BEZEE;118;4;25.928;Feeder;[54529718, 56020150]
GBLGP;BEZEE;189;7;25.928;Feeder;[54529718, 52005472]
VELAG;BEZEE;7813.65;301;25.928;Vessel;[54529718, 56350873]
VEPBL;BEZEE;7802.476;301;25.928;Vessel;[54529718, 57526123]
COTRB;COSMR;503;19;25.928;Feeder;[62975570, 68641431]
NLRTM;COSMR;8475;326;25.928;Vessel;[62975570, 56020150]
GBLGP;COSMR;8375.39;323;25.928;Vessel;[62975570, 52005472]
NLVLI;COSMR;8209.916;317;25.928;Vessel;[62975570, 55039437]
VELAG;COSMR;986;38;25.928;Feeder;[62975570, 56350873]
NLRTM;DEHAM;523;20;25.928;Feeder;[63436176, 56020150]
VELAG;DEHAM;8404.69;324;25.928;Vessel;[63436176, 56350873]
VEPBL;DEHAM;8393.264;324;25.928;Vessel;[63436176, 57526123]
FRLEH;FRDKK;235;9;25.928;Feeder;[53195375, 49658438]
NLRTM;FRDKK;181;6;25.928;Feeder;[53195375, 56020150]
NLRTM;FRLEH;423;16;25.928;Feeder;[49658438, 56020150]
GBLGP;FRLEH;307;11;25.928;Feeder;[49658438, 52005472]
VELAG;FRLEH;7585.78;292;25.928;Vessel;[49658438, 56350873]
VEPBL;FRLEH;7578.384;292;25.928;Vessel;[49658438, 57526123]
GBLGP;NLRTM;289;11;25.928;Feeder;[56020150, 52005472]
NLVLI;NLRTM;183.348;7;25.928;Feeder;[56020150, 55039437]
VELAG;NLRTM;7957.69;306;25.928;Vessel;[56020150, 56350873]
VEPBL;NLRTM;7924.708;306;25.928;Vessel;[56020150, 57526123]
VELAG;NLVLI;7758.028;299;25.928;Vessel;[55039437, 56350873]
VEPBL;NLVLI;7841.368;302;25.928;Vessel;[55039437, 57526123]
VELAG;VEGUT;268.54;10;25.928;Feeder;[54342630, 56350873]
VEPBL;VELAG;;;25.928;Feeder;[56350873, 57526123]
